사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,3호선,73,충무로,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,3,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01,3호선,74,동대입구,9,0,1172,706,1769,7844,4100,10932,5811,38203,4320,19027,3771,10329,5222,9700,5090,8819,6005,7850,7518,7788,10746,6000,12650,5804,26394,6101,25234,6523,11804,4510,8233,3198,8446,4521,3779,2174,772,978,1,119,0,0,1,0,0,0
2021-01,3호선,75,약수,98,2,4872,721,7684,4409,18073,9578,31070,27669,20884,17077,14287,11562,13746,10759,14620,11646,15493,12151,15356,13447,15296,14772,16074,17209,19906,22628,26618,33549,14236,22520,12443,14607,12290,17449,4198,7286,1107,3177,1,609,0,0,0,0,0,0
2021-01,3호선,76,금호,40,16,3813,504,8188,2349,20854,3931,29035,7315,17738,5726,10790,5416,9208,5616,9686,6740,10113,7473,8441,8078,8493,10204,8584,11608,8989,17306,9180,26114,5718,19490,4871,13098,4961,14556,1784,5923,448,2288,0,0,0,1,1,1,0,0
2021-01,3호선,77,옥수,155,14,2189,966,6908,3280,16895,6508,24494,12559,15392,9085,10530,6948,9989,7086,10711,8529,11549,9835,11152,9845,11368,11567,12020,13776,13195,18520,13715,27731,8319,21343,6789,13619,6698,16337,2422,6240,742,2585,10,198,0,0,0,0,0,0
2021-01,3호선,78,압구정,51,5,2219,1821,6179,18028,12044,36347,18403,114846,14634,139657,17688,63380,23631,46706,28099,38972,31081,43154,37847,40593,45417,34990,54625,34712,76977,36303,113015,37943,84617,21307,72152,11279,54157,11432,14588,4514,2500,1988,4,470,0,0,0,0,0,0
2021-01,3호선,79,신사,18,4,1850,1286,4389,16845,7983,36161,14530,95577,11109,120893,14718,59065,20118,41707,24580,40616,28156,44427,35094,44268,43528,39831,52892,38366,76522,39747,116548,44597,85853,22058,67508,9799,73237,9928,15539,4197,3444,2237,1,95,0,0,0,0,0,0
2021-01,3호선,80,잠원,1,0,746,381,3500,3493,8546,5628,12011,7474,7571,5920,5011,3770,4687,4067,5608,4430,5801,4785,5163,4449,5709,5005,6291,5382,8155,7794,7818,12205,4660,8674,3492,5193,4191,7463,1006,2645,248,1303,0,1,0,0,0,0,0,0
2021-01,3호선,81,고속터미널,79,1,3786,2366,5216,21897,18580,33145,30593,54539,30782,73938,30321,61248,38046,63926,48292,59893,53786,63301,59463,65749,69546,68383,79252,64264,95223,67545,100365,77786,79230,48099,99601,26551,52603,23688,20171,7451,4698,4483,1,151,0,0,5,0,0,0
2021-01,3호선,82,교대(법원.검찰청),4,0,924,429,2675,4895,5786,14641,8818,41828,7400,30022,7883,12829,9874,8303,10973,8122,13806,8429,15812,8329,17447,7264,20580,7744,34235,8896,55383,10785,23199,5874,20436,3196,24721,3548,5800,1484,1434,854,0,12,0,0,0,0,0,0
2021-01,3호선,83,남부터미널(예술의전당),13,1,2085,865,6523,19068,20208,46862,30549,132843,24695,70802,20900,38741,24322,28629,27682,28614,30673,32382,31470,33907,36885,32195,44299,31333,73287,34642,117193,41862,55530,28801,39572,18241,35027,17744,14747,6912,3249,3352,0,17,1,0,1,0,0,0
2021-01,3호선,84,양재(서초구청),42,0,4082,2053,10887,32539,26599,86006,36546,199320,24910,107254,21782,43835,24359,31740,27463,29576,30309,34099,33711,30204,40204,31403,48508,32189,99754,41546,171013,54865,80223,38731,57021,24130,55035,26759,16239,11821,3521,4986,4,387,1,0,0,0,0,0
2021-01,3호선,85,매봉,7,0,1079,524,5285,7579,12075,18460,15028,58256,10697,35504,8335,11951,8323,8714,8937,8956,10453,9629,11233,8401,13235,9087,16265,9633,30276,13191,54473,17736,22193,12300,15513,7623,16264,8825,4840,3989,989,1696,0,176,0,0,0,0,0,0
2021-01,3호선,86,도곡,23,6,907,374,3096,3737,6538,10396,8868,17474,5702,14069,4240,6321,4445,5187,4916,5098,5353,5206,5524,4763,6791,4557,8625,4770,13415,6386,15852,8459,8230,7008,5590,4290,5701,5716,2120,2255,375,966,2,479,0,0,0,0,0,0
2021-01,3호선,87,대치,4,0,2026,680,9403,7311,18502,15381,19774,23316,11415,16622,8430,11574,9250,10832,11427,12863,12183,14325,12602,12690,14023,12115,16492,13637,21193,16327,23215,21142,13483,17440,12340,10665,22649,11954,5290,5823,1105,2257,0,2,1,0,0,0,0,0
2021-01,3호선,88,학여울,2,0,371,222,1443,1500,2642,2680,3130,5939,2035,2938,1588,1733,1496,1501,1709,1592,1692,1567,1823,1654,2449,1704,2847,1874,3369,2462,5082,3424,2463,2725,1524,1660,1758,1964,615,995,105,453,0,0,0,0,0,0,0,0
2021-01,3호선,89,대청,58,0,2692,946,8049,5531,19919,8307,24571,21821,13537,9546,9771,6315,9554,6118,9933,7082,10467,7899,10082,8195,10781,9443,12719,10780,17448,14423,21627,21663,8609,18007,6471,11502,5762,14026,2517,6325,604,2907,0,37,0,0,0,0,0,0
2021-01,3호선,90,일원,6,1,1803,1401,6507,7881,16769,22154,17761,20256,12132,15021,11565,12050,12267,9165,12276,10867,11762,12715,12956,10026,14851,9615,18075,8410,27065,10424,13783,15924,6898,12861,5121,8909,3574,11264,2344,4834,602,1726,1,50,0,0,0,0,0,0
2021-01,3호선,91,수서,160,1,3889,1533,9454,11161,25492,21170,32417,42074,20227,22262,17800,15390,15098,12888,17656,15816,18397,15632,15035,15273,19779,17360,22072,19391,28994,24970,39172,37373,18174,29577,16542,18330,12156,18814,7777,9760,2664,2998,5,325,0,0,0,0,0,0
2021-01,3호선,92,가락시장,10,0,2115,545,5602,4417,14864,9223,17517,25112,11683,13535,9864,8957,9905,8877,10723,9086,11064,9964,11512,10918,12141,11537,12781,12097,16282,14268,24184,18882,10663,13836,8612,8817,8321,9625,2533,4553,446,1868,2,653,0,0,0,0,0,0
2021-01,3호선,93,경찰병원,9,0,2191,189,5782,2573,17317,7621,21252,27488,12067,12513,8923,8105,8022,6028,7888,6362,7963,7970,8480,7412,8778,7377,8246,7659,12789,11082,18736,18141,6235,14709,5540,9121,5745,9048,1886,4572,359,1765,2,446,0,0,0,0,0,0
2021-01,3호선,94,오금,4,0,3067,11,5600,1792,19262,4359,24325,11659,12054,4808,6479,3501,5617,3165,6076,4103,6109,4642,5016,4418,5046,5989,5821,6690,7930,10269,9769,17199,4180,13942,3216,8441,2854,10492,1458,4998,203,1993,1,648,0,0,0,0,0,0
2021-01,4호선,100,수유(강북구청),64,4,15798,2993,36906,9405,89612,16084,104879,46058,61606,32002,41111,24451,37652,25548,39320,28158,40065,32981,38781,35767,38170,43490,39303,52008,43678,65351,49110,105573,28117,91310,25127,54468,25437,59871,9875,29910,3525,13081,0,92,0,0,0,0,0,0
2021-01,4호선,101,미아(서울사이버대학),40,1,8330,1312,16488,4030,38820,7624,45097,23586,26738,14895,18837,11854,17272,11883,18075,12943,17624,14842,17551,15854,16454,20240,16757,21814,18593,26722,21535,41813,11958,34790,8394,21437,8004,24158,3594,11331,1095,5438,0,0,1,0,0,0,0,0
2021-01,4호선,102,미아사거리,47,1,11328,1714,29354,6225,75130,11606,85753,26926,48283,28926,32463,22958,30067,22787,30826,25212,32504,27458,31616,31743,32694,37888,33534,41663,32691,56121,34672,90016,24403,69862,28298,39872,17507,45035,6222,19722,1910,8232,0,0,0,0,0,0,0,0
2021-01,4호선,103,길음,6,0,7291,1738,22346,7435,64325,8452,71487,21280,36562,17059,23165,12218,20166,13024,21806,15589,22142,16734,19889,17605,19608,21426,21061,26060,22714,37156,21933,66383,12660,54486,11029,31788,9392,36648,4790,17138,1309,6382,1,0,0,0,0,0,0,0
2021-01,4호선,104,성신여대입구(돈암),27,10,4348,1538,13443,5076,35179,11989,44641,25560,27825,22445,19342,16900,19068,17042,21965,19925,22896,21850,23138,23197,24569,24958,27167,28010,29534,35756,33979,53815,22811,40707,24066,23616,26809,28144,9113,13396,2659,5605,0,0,0,0,0,0,0,0
2021-01,4호선,105,한성대입구(삼선교),53,4,5418,1007,9607,5138,24268,11145,30365,21273,20057,18517,14007,11602,14104,11149,15576,12696,15818,13942,15716,14023,16345,15218,20655,17877,22075,22796,23398,31998,12125,25875,10606,16048,10582,19046,4126,9159,1282,4668,3,1086,0,0,0,0,0,0
2021-01,4호선,106,혜화,28,1,2149,2285,5259,17915,13169,38665,17539,94493,19241,62826,24229,42466,27488,31674,26015,37863,26808,48745,36006,45421,46481,34603,56081,31143,74192,34567,94641,39114,46520,28608,46986,12426,48672,16351,24510,8117,5020,3842,1,200,0,0,0,0,0,0
2021-01,4호선,107,동대문,197,9,5086,2386,2709,11221,4008,29531,5366,62971,8711,57299,12890,43261,16711,37812,20496,29834,23235,30898,30141,29042,36764,23430,46627,17230,73719,11360,58798,8008,24607,10243,21494,7175,16864,5665,4628,3117,1337,4359,3,53,0,0,0,0,0,0
2021-01,4호선,108,동대문역사문화공원(DDP),364,4,6875,1143,3392,9538,4856,21407,6345,57068,5660,29805,6036,19336,8330,17243,10724,15583,12258,17356,16222,16759,21103,13775,24858,11669,40603,11589,59480,12009,31771,19620,26702,8539,21603,6146,9236,3263,3004,2794,4,233,0,0,1,0,0,0
2021-01,4호선,109,충무로,32,3,1973,2413,3229,14975,5773,46011,10071,148161,10193,86197,10327,39705,12881,27938,15843,24681,19580,25595,25005,22857,30154,19050,38056,18393,66893,18967,125589,20315,60000,11893,43511,6463,40554,8072,13482,3627,3554,2050,4,205,1,2,1,0,0,0
2021-01,4호선,110,명동,23,0,518,783,1532,9292,2337,29962,4039,80203,4724,48556,5645,26317,8539,22674,11416,20465,14930,22005,18795,20678,24119,18821,30551,16136,45391,14777,80072,12702,35733,7350,31659,3675,23063,3382,6124,1426,1234,584,1,97,0,0,1,0,0,0
2021-01,4호선,111,회현(남대문시장),32,2,1191,619,2223,14449,3537,40456,5984,100898,6113,76111,8622,54327,14414,40383,19490,31899,24193,29493,30594,27427,40044,22427,56018,16262,70993,12135,94022,10188,38123,6055,39320,3687,17114,3950,5200,1762,1549,834,2,132,1,2,0,0,0,0
2021-01,4호선,112,서울역,128,2,3281,444,4216,6778,9222,25010,11676,62640,8382,29325,6616,13495,7959,12138,8232,14596,8731,14325,9246,14116,9816,15450,11525,15924,27077,17962,47146,19394,16997,14218,11077,9972,11364,11185,4086,4738,1168,2020,0,572,0,0,0,0,0,0
2021-01,4호선,113,숙대입구(갈월),24,1,2135,586,5733,5101,12183,15233,20324,38238,13385,24517,10139,12152,10640,10664,12155,11271,12485,11907,13173,12012,13744,12839,17995,14527,25567,18153,37422,24532,18113,16920,15061,10576,15856,12929,5287,5595,1464,2414,1,0,0,0,0,0,0,0
2021-01,4호선,114,삼각지,4,2,504,257,1412,3244,3863,9039,5675,21678,3936,9030,2744,4968,2975,4513,3575,4607,4101,4626,4340,4532,4892,4575,5949,5153,11127,6472,18868,8721,7790,5642,6354,3364,6714,4301,1756,1580,490,789,0,99,0,0,0,0,0,0
2021-01,4호선,115,신용산,4,3,1122,656,3121,10065,7943,25126,12881,68281,9262,48385,7481,20294,9295,14623,10432,14479,12370,15558,13434,14634,17193,14567,23035,14495,38782,17076,65855,20898,33398,13127,25228,7698,22261,8153,6726,3108,1842,1243,1,0,1,1,0,0,0,0
2021-01,4호선,116,이촌(국립중앙박물관),27,1,943,618,3526,5436,9340,10575,13562,21029,8849,11653,5999,7306,6253,6732,7376,7297,7508,8739,7757,8120,8771,8187,11908,8905,14735,10845,17981,16305,7459,12163,5881,7242,6223,8738,1903,3213,490,1333,2,1,0,0,0,0,0,0
2021-01,4호선,117,동작(현충원),19,0,336,167,933,2237,3213,3064,5029,5348,3294,3126,2744,2469,2702,2470,2830,2523,3096,3074,3647,3519,4086,3614,4375,3572,5039,3958,5047,5235,2314,3699,1819,2435,1738,2946,689,1110,188,750,0,35,0,0,0,0,0,0
2021-01,4호선,118,총신대입구(이수),54,2,5112,897,12600,9132,36387,13197,48101,34783,27538,28616,19552,19615,19462,18613,21291,20613,23090,22691,23194,25065,23498,27916,24952,31496,28902,40029,35895,59477,20500,39779,21728,21848,19359,25383,5326,10597,1271,4999,0,40,0,0,0,0,0,0
2021-01,4호선,119,사당,80,1,7796,744,18006,12679,50562,15827,68847,27093,47760,21012,28458,16851,23208,17229,24332,18601,25327,19492,23779,19770,22936,23470,24232,30632,29838,40381,34592,59255,23636,42494,25881,25654,27471,28056,8676,13463,2165,6843,6,735,0,0,0,0,0,0
2021-01,4호선,120,남태령,49,0,400,100,653,1186,1737,2357,2078,4105,1885,1146,1310,931,1355,775,1209,1056,1257,1018,1266,997,1243,1026,1905,1207,2755,1301,2465,1398,1507,1295,1567,802,850,877,344,398,126,185,0,22,0,0,0,0,0,0
2021-01,4호선,95,당고개,47,0,6790,25,15507,5463,40628,5730,40855,9933,24221,8911,15834,9626,14891,9036,14638,10445,15274,10700,14625,11411,13642,14581,13403,17064,13252,21028,12066,33006,7655,30473,5568,20651,4627,22975,2453,11365,564,5097,0,81,0,0,0,0,0,0
2021-01,4호선,96,상계,25,0,10737,178,28048,5787,71436,7357,64189,16014,33766,13708,23451,12409,20358,12914,21428,15447,21210,16428,19224,17103,18667,20183,18689,25330,18569,33339,17757,55351,10829,53708,9241,32284,10724,34049,4519,19079,1222,8009,1,5,0,0,0,0,0,0
2021-01,4호선,97,노원,62,1,8768,410,18883,5650,44227,8821,45968,22204,25880,25269,19686,19206,19057,17955,20822,20704,21211,24067,22077,25336,22541,28345,23572,32977,23296,40957,26008,61998,18636,50364,26262,27723,25281,30333,5565,15199,1352,6678,1,1392,0,0,0,0,0,0
2021-01,4호선,98,창동,1283,8,13284,2764,28830,10217,74272,13131,66450,31954,41406,23472,30162,21153,28641,23445,30134,27669,31614,31897,30875,35243,32608,37452,33882,42792,34160,50334,35034,78744,19467,70369,19176,40649,16424,41855,5577,21620,1768,8682,77,1317,0,0,0,0,0,0
2021-01,4호선,99,쌍문,57,17,18716,917,42795,7813,101218,11102,108748,22505,62819,18643,39815,15788,33004,16829,33134,20031,32226,21839,28814,24728,26303,32806,27593,39120,27658,53386,27194,90782,16401,88425,13112,53066,11960,55893,5118,28493,1977,12158,2,299,1,0,0,0,0,0
2021-01,경부선,121,서울역,0,1,34,163,20,1389,5998,2205,9950,2967,6684,1720,5660,1267,6304,860,6976,1483,6376,1507,3716,1369,7477,1498,7268,1961,6859,3428,8574,5131,8076,2482,4729,1527,6480,1255,4456,564,1703,82,10,6,0,0,0,0,0,0
2021-01,경부선,122,남영,21,0,1661,769,3422,6563,8981,15433,13153,40273,8034,22293,6335,8578,6647,7384,7637,7680,8294,8242,8921,7933,9912,8459,13099,9245,19508,11628,38107,16932,14526,11568,10427,7416,10958,8437,3912,4201,1072,1870,2,105,0,0,0,0,0,0
2021-01,경부선,123,용산,135,5,2575,3936,4149,23536,13704,48159,18203,107862,18892,73874,16098,49281,24632,36631,26415,39136,32692,41614,32320,39940,50032,39788,57564,37069,77094,38194,111450,40840,64667,29021,65879,17100,51520,15510,17967,6086,5831,2030,58,436,0,0,0,0,0,0
2021-01,경부선,124,노량진,193,2,3180,1180,4865,3545,12201,7501,17921,14306,9868,8802,7693,6762,7932,7111,9415,8770,10373,9543,10434,9243,10538,10618,11497,12406,13596,17190,15015,27022,9695,16465,11834,10012,12356,11167,2883,4747,1025,2933,11,176,0,1,0,0,0,0
2021-01,경부선,125,대방,339,5,4354,1738,8286,8437,22329,29257,30636,40751,16213,18300,11608,8759,10887,7739,11482,8890,12146,10582,11914,9762,13327,10962,14050,12896,25172,18636,37224,30866,14236,22037,11210,14654,10733,16764,3555,7003,1006,3114,12,265,0,0,0,0,0,0
2021-01,경부선,126,영등포,2861,76,12254,4318,13193,16311,28375,44591,39607,100667,27023,73481,23756,53385,27509,51549,35183,52762,40763,58080,45854,56755,54415,58271,63145,55949,81433,61938,119594,77479,70737,48216,88842,25154,64276,25156,18382,12105,5323,4988,38,999,1,0,0,0,0,0
2021-01,경부선,127,신도림,372,1,1534,449,2487,1758,6947,5678,8675,13611,4730,5715,3368,3668,3253,2849,3536,2966,3628,3188,3322,3169,3566,3986,4106,4098,7176,5959,12520,8827,4728,6134,3783,3574,4223,4319,1232,1910,431,868,8,563,0,0,0,0,0,0
2021-01,경부선,151,신길,580,2,8533,1380,8988,4390,19189,10695,25843,22340,14585,8670,8991,5140,8156,5035,8576,5501,8552,6357,8084,6258,8464,7552,9784,8710,14993,13363,23756,19396,10006,14690,6147,9822,6253,13083,2664,5641,839,2455,6,279,0,0,0,0,0,0
2021-01,경부선,249,구로,7312,16,17822,4060,16398,9789,29728,26511,30056,69195,19304,35906,14451,20258,15170,16820,16141,16203,17028,17905,17846,17358,20119,18886,23885,21042,40133,28696,57996,35321,25410,25275,18832,16432,18021,20667,5396,9362,1902,5906,13,3664,0,6,0,0,0,0
2021-01,경부선,250,가산디지털단지,826,1,5797,1774,6249,10410,11061,44100,11207,131296,8088,65068,7039,20230,7739,12257,8976,12028,9909,13027,10772,11956,12353,12520,19171,13305,52650,16757,94389,20191,41184,14841,25384,9891,22039,11629,6096,5807,1506,2248,57,528,0,0,0,0,0,0
2021-01,경부선,251,금천구청,390,3,9065,1234,15135,4096,36624,11835,35491,25733,18905,9271,12514,6909,11179,6974,11835,9120,11395,10130,10740,10474,10684,12311,10897,15055,13145,20880,20582,36441,9563,29733,7625,15897,7079,18829,2612,8713,656,3760,9,219,0,0,0,0,0,0
2021-01,경부선,252,석수,241,6,5924,2168,13234,4948,32034,9712,32431,15431,16985,8723,10209,8182,8943,5746,9148,6290,9333,6363,9027,6695,10308,8145,11609,9878,13763,14739,15801,26724,8041,24570,5495,13926,5154,16783,2250,7833,720,2869,23,147,0,0,0,0,0,0
2021-01,경부선,253,관악,154,0,5755,1396,10746,3265,26187,4086,24821,7049,11897,6763,7586,6654,6662,4997,7279,5591,7410,5503,7432,5485,7785,6915,8554,7938,8655,11504,7904,22925,4495,19658,3615,11258,3289,12448,1349,6332,452,2698,12,205,0,0,0,0,0,0
2021-01,경부선,254,안양,171,3,11649,2324,25643,8831,65487,12347,58224,22978,29921,19242,20323,16558,19531,18163,22126,21039,22181,24151,21656,22580,23312,26546,25348,28328,28818,41163,27881,64072,17482,56197,18781,31563,20194,30082,6081,16517,1797,6629,58,615,0,0,0,0,0,0
2021-01,경부선,255,명학,112,1,5274,2023,8016,8300,20134,21029,18064,46600,9138,11955,6414,5963,5834,4721,6698,5234,6763,5997,6424,5193,7211,6027,10660,6750,20973,9147,32465,15701,11088,14408,10188,8958,7466,9311,2700,5065,682,2325,10,236,0,0,0,0,0,0
2021-01,경부선,256,금정,214,2,17842,4503,28425,18061,63209,37313,66457,79341,36953,27616,23308,16288,22075,17127,23438,18412,23511,20062,21279,21356,22843,25142,28412,29998,45223,42526,64760,66812,29403,57333,24901,36171,20283,42479,8290,20678,2557,9441,57,1503,0,0,0,0,0,0
2021-01,경부선,257,군포,43,3,4607,1387,7669,7456,14587,26952,14173,42266,7190,6889,5552,4206,5496,3880,6081,4276,5960,4786,5735,5077,5909,5675,7393,6589,18957,9295,32156,12356,11252,10570,9319,6789,6508,7128,2882,3995,690,1819,34,201,0,0,0,0,0,0
2021-01,경부선,258,의왕,88,0,4898,1111,10348,5933,24626,19787,23750,21009,9930,6754,7854,4335,7626,4792,7511,5625,8275,6737,7542,6414,7501,8048,9408,9833,18139,13490,18486,23808,8797,17737,6410,12556,5398,12220,2150,6622,666,2804,47,342,0,0,0,0,0,0
2021-01,경부선,259,성균관대,41,2,6891,1206,21151,3810,53619,7080,42539,14881,18200,11237,12675,8392,11968,8589,13222,9603,12658,11938,12009,11418,12178,13073,13674,16370,16838,25624,17753,46900,9633,41915,8779,24785,9685,25496,4606,13849,1369,5398,65,713,0,0,0,0,0,0
2021-01,경부선,260,화서,266,2,5507,1110,15514,4237,31268,3489,22410,7192,9174,4716,6679,3793,6525,3984,6252,4194,6077,5585,5523,5757,5783,6190,7401,7263,8279,14372,7154,24402,3880,21836,3249,12758,3560,12409,1552,7497,375,2532,17,410,0,0,0,0,0,0
2021-01,경부선,261,수원,1419,8,13533,4867,26423,21295,57569,34616,47898,47318,28504,44445,25373,35651,31499,40488,34094,48206,35530,48625,37926,50121,44551,49077,54020,54667,60897,63970,69808,82911,52243,65351,62838,38804,49488,35814,17967,21374,5614,9202,80,1691,1,2,0,0,0,0
2021-01,경부선,262,독산,257,3,5642,2438,12990,12858,31000,35063,29833,84579,15236,40540,11136,15231,11130,9674,12270,11204,12484,11317,12501,10354,13874,12099,21504,13219,42391,18711,64426,32195,30128,28599,17570,15130,13362,19320,5396,8990,1328,3513,20,198,1,0,0,0,0,0
2021-01,경부선,263,세류,303,10,2362,580,5730,2087,11013,3370,7835,3722,3462,2156,2692,1864,2579,2147,2633,2262,2657,2269,2446,2358,2505,2557,3345,3407,4197,4871,4495,8757,2543,7446,2128,4471,1745,4866,824,2878,263,954,4,226,0,0,0,0,0,0
2021-01,경부선,264,병점,2102,25,5196,2369,18591,8598,35626,17560,26306,19623,15310,10029,13002,7697,13551,9296,14030,10130,13464,11123,12922,12008,15240,12649,17614,17186,23952,22059,25144,33600,13266,34521,10471,22007,9783,22022,4755,12683,1259,5120,17,2392,3,0,0,0,0,0
2021-01,경부선,265,세마,257,0,1375,374,3977,1359,6856,3024,5527,6166,3996,1367,2732,1194,2479,1460,2691,1534,2841,2063,2552,2132,2529,1585,3014,2750,3605,3428,5219,5800,1922,5833,1595,3919,1409,3880,587,2422,214,823,11,58,0,0,0,0,0,0
2021-01,경부선,266,오산대,76,0,2096,360,4743,1677,7887,3018,5903,5259,3761,2074,2860,1863,2794,1934,2845,2038,3407,3182,3071,2867,2967,2249,3944,3315,4397,4907,6140,7729,2802,5893,2700,4133,2452,4247,1028,2433,401,1141,18,38,0,0,0,0,0,0
2021-01,경부선,267,오산,116,1,4677,1067,11327,7853,16243,20345,14798,16371,10696,8984,9552,7331,10221,7139,11795,9090,10879,10413,11049,9814,11287,10878,13669,13294,20112,15516,22386,20974,11240,18280,9690,14001,7734,12117,3339,6289,1092,2970,81,199,0,0,0,0,0,0
2021-01,경부선,268,진위,9,0,459,248,1212,1768,1812,5752,1583,6576,1317,1156,960,795,1040,685,1149,779,1124,927,1237,803,1375,877,1646,1113,5028,1194,7853,1714,2805,1617,1592,966,1087,1320,461,849,116,320,7,33,0,0,0,0,0,0
2021-01,경부선,269,송탄,42,1,5349,454,6080,2172,9745,3999,6809,5145,5251,3390,4855,2727,4978,3221,5135,3567,5374,3951,4666,4280,4964,5070,5102,5486,6159,7676,7142,8507,3884,9152,2790,6466,2801,7105,1299,5233,380,2040,16,292,0,0,1,1,0,0
2021-01,경부선,270,서정리,16,2,2151,5897,6847,4661,9269,9794,8282,9308,5633,4892,5762,4033,6182,3974,7441,5221,6266,5999,6902,5574,7508,6415,9124,8716,16290,9976,14081,10765,7458,11294,6190,7826,4390,7309,1433,5735,541,2527,10,245,0,1,0,0,0,0
2021-01,경부선,271,지제,4,0,702,2246,2160,6588,5174,7585,3869,5557,2414,2288,1984,1500,2375,2029,2990,2187,2160,1780,2653,2102,3560,2601,3971,2697,8980,2898,7255,4460,4453,3932,3087,2958,2738,2710,1789,2089,700,782,18,39,0,0,0,0,0,0
2021-01,경부선,272,평택,19,0,4768,1878,10677,5583,19225,11322,16192,16280,12593,13234,12558,10525,12667,13615,13356,14430,15209,15294,14977,16194,15946,15857,18647,18642,22063,20360,21719,24505,15491,19280,15159,14042,11240,12016,5346,7990,1946,3997,33,607,0,1,0,0,0,0
2021-01,경부선,273,성환,18,1,1182,278,2258,1350,3416,7459,3873,9026,3639,2783,3416,2433,3354,2836,3666,3501,4430,3344,4696,3363,4303,3422,5957,4060,8497,4716,7163,5385,3036,3774,2603,3095,1832,3869,616,2569,275,1326,29,231,0,0,0,0,0,0
2021-01,경부선,274,직산,19,0,380,150,973,624,1092,1845,904,2609,659,739,726,553,731,527,718,622,737,753,733,631,929,601,826,916,1888,973,2221,1093,854,1211,602,538,483,761,256,486,101,354,20,56,0,0,0,0,0,0
2021-01,경부선,275,두정,680,2,3139,569,6776,1925,9889,4862,8891,6472,5352,5573,5128,4106,5194,4297,5003,5674,5748,6039,5850,5837,6407,6156,6757,7133,8491,8479,9115,12561,5300,9018,4461,7491,4464,6307,2167,5038,978,3175,22,712,0,2,0,0,0,0
2021-01,경부선,276,천안,1264,2,1911,406,3945,2323,6236,3574,5167,6314,5882,5930,5512,5638,6701,6725,6646,7519,7436,8589,7886,7268,8528,9572,8437,7337,9325,8715,9194,10313,6020,7353,4792,5904,3731,3868,1530,3237,726,1657,2,905,0,1,0,0,0,0
2021-01,경부선,277,당정,4,0,2470,898,8922,2733,19880,6689,17367,12975,8256,4793,5675,3184,5723,3229,6057,3590,6064,4146,5415,4319,5853,5063,6032,6616,8257,9335,12096,14761,4785,16236,3657,9947,3300,10022,1480,5725,393,2394,32,217,0,0,0,0,0,0
2021-01,경부선,278,서동탄,0,0,959,7,3739,387,8265,1435,3325,1622,1653,671,1236,564,1295,663,1227,933,1175,943,1105,1066,1325,1599,1372,1403,1599,2218,2057,3507,722,4366,634,2562,522,1629,332,1671,73,674,2,333,1,4,0,0,0,0
2021-01,경부선,279,광명,0,0,14,1442,2586,3048,10343,3025,7776,3025,3581,2723,2975,1963,2607,1449,3050,3429,2502,252,2239,4190,4678,2011,2485,3150,4902,3816,5693,9850,5285,6283,1605,3211,3877,2712,1580,2189,317,703,0,0,0,0,0,0,0,0
2021-01,경인선,293,개봉,723,4,14372,4381,28902,10334,72977,12131,68719,20070,37771,15053,25680,12461,22944,14233,24591,17174,23467,17529,21343,20913,20400,24939,22158,30860,23885,47729,23048,80234,13585,63856,11870,35790,10608,40469,4706,17834,1423,7036,25,605,0,0,0,0,0,0
2021-01,경인선,294,오류동,214,0,9529,1592,14180,3831,39296,4898,41229,9603,21067,7716,14351,7190,13343,8021,13879,9435,13319,10386,12052,11394,11655,13514,12126,16628,12236,21712,11452,37292,6585,32133,5441,20267,5371,21241,2780,10072,755,3694,9,321,0,0,0,0,0,0
2021-01,경인선,295,역곡,586,3,21803,2992,37233,9572,98932,10695,94553,22761,47686,17705,29589,16527,26765,18662,27961,20444,27366,22376,24297,24772,23985,26305,25868,40064,27359,53169,25727,92984,15725,82360,15088,46534,13851,50930,5882,24569,1824,9657,30,644,0,0,0,0,0,0
2021-01,경인선,296,부천,1682,14,27409,3542,36572,10136,86553,15221,86900,34899,45160,30508,33947,28795,33799,32526,36772,37012,38432,41303,38536,42429,39680,44111,42110,50762,43516,66293,46860,99298,31366,84424,33003,44296,31308,48759,10706,25902,3297,10986,115,1384,1,1,0,0,0,0
