사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,2호선,19,한양대,1,0,666,194,1788,5062,3863,7490,6573,18090,4288,27298,3766,12410,4501,7439,5259,8115,5542,8905,6560,8083,7454,5753,13694,5182,21768,5354,21008,6705,9646,4367,7136,3406,7797,4528,5121,1861,1938,969,0,12,0,0,0,0,0,0
2021-01,2호선,20,뚝섬,10,0,2833,1895,6441,10928,14571,28378,21655,113554,13285,69541,10460,26549,10687,17041,13139,17703,16053,19736,17961,18392,20378,18090,25542,18553,45036,21724,100514,29088,48622,18587,29624,11345,27154,12854,8235,5566,1886,3022,1,50,0,0,0,0,0,0
2021-01,2호선,21,성수,14,1,4179,2805,8025,21518,18452,63728,25980,229101,18388,117674,15317,38446,17076,26745,19045,27754,23383,29454,26558,28812,30550,28538,39869,28954,85623,31392,187090,38168,83822,24284,51293,12940,49326,15487,13370,6990,3069,4142,3,857,0,1,0,0,0,0
2021-01,2호선,22,건대입구,99,2,10196,1647,15521,14964,41543,22036,73021,51470,48020,39280,26759,29168,25530,31157,29378,38195,32171,43861,34681,46822,37936,52087,43920,60841,53211,77361,67571,106890,49289,66800,67062,38480,73464,48501,16354,21459,4654,9211,6,990,0,0,0,0,0,0
2021-01,2호선,23,구의(광진구청),29,0,11039,883,20895,8077,52867,11707,91632,33680,52706,19589,26482,15682,22104,15981,23003,18353,23505,20906,22616,22330,22220,28143,24029,32018,28910,44994,35171,78224,17431,57568,16225,37725,16875,45171,7683,19710,3025,7599,5,554,0,0,0,0,0,0
2021-01,2호선,24,강변(동서울터미널),6,0,6507,1522,20746,12651,62162,17119,82739,33761,55500,28013,35773,26116,34518,25392,36069,28671,35391,31506,35384,33395,35252,39192,35507,43717,39405,57550,45123,87744,32220,64331,24895,41097,21116,45213,8647,16940,2738,6600,7,226,0,0,0,0,0,0
2021-01,2호선,25,잠실나루,5,0,2284,1202,8318,8332,28888,17761,36184,29972,21729,19307,16329,13921,15858,11593,15662,14882,15146,15430,16788,13007,17861,12620,21261,13169,25118,17947,23791,31227,10945,24442,8481,14381,6849,18415,3332,7291,946,3286,3,119,0,0,0,0,0,0
2021-01,2호선,26,잠실(송파구청),80,8,9203,3516,35087,32593,88048,57128,125062,128844,89027,102613,55756,61956,53690,61822,59302,63221,66040,68381,69231,73420,76529,76445,92381,84781,121767,108917,151010,155726,96739,109257,105437,69629,82820,83635,25918,29360,5553,12087,16,395,0,0,0,0,0,0
2021-01,2호선,27,잠실새내,8,1,3138,815,12120,6711,41020,13284,55616,22777,33742,24205,20540,18223,19460,18908,22032,21217,23305,23822,21974,24235,23388,26923,27585,31306,27828,41838,31511,62541,23266,43675,23966,24789,29236,29974,8136,11469,2188,4674,4,414,0,0,0,0,0,0
2021-01,2호선,28,종합운동장,4,0,1241,748,4253,3673,12738,7083,16990,14074,13050,8036,7161,4883,6378,4895,6646,5848,7115,6325,6778,6281,7215,7176,7997,8238,10172,11456,11416,17981,5492,13322,3725,8466,4672,11479,1921,4383,474,1856,3,179,1,1,0,2,0,0
